,Date,Hi/Lo,Precip,Forecast
144,Thu 5/25,33°/22°,0 mm,
145,Fri 5/26,33°/21°,58 mm,
146,Sat 5/27,30°/20°,65 mm,
147,Sun 5/28,30°/20°,0 mm,
148,Mon 5/29,30°/21°,0 mm,
149,Tue 5/30,31°/21°,1 mm,
150,Wed 5/31,30°/21°,0 mm,
151,Thu 6/1,32°/21°,0 mm,
152,Fri 6/2,32°/22°,0 mm,
153,Sat 6/3,32°/22°,0 mm,
154,Sun 6/4,32°/21°,0 mm,
155,Mon 6/5,32°/22°,0 mm,
156,Tue 6/6,31°/22°,0 mm,
157,Wed 6/7,28°/22°,1 mm,
158,Thu 6/8,30°/22°,0 mm,
159,Fri 6/9,28°/21°,9 mm,
160,Sat 6/10,28°/21°,0 mm,
161,Sun 6/11,28°/21°,1 mm,
162,Mon 6/12,25°/20°,1 mm,
163,Tue 6/13,29°/21°,1 mm,
164,Wed 6/14,31°/22°,0 mm,
165,Thu 6/15,30°/22°,0 mm,
166,Fri 6/16,28°/21°,8 mm,
167,Sat 6/17,26°/21°,0 mm,
168,Sun 6/18,29°/20°,4 mm,
169,Mon 6/19,28°/20°,0 mm,
170,Tue 6/20,29°/21°,0 mm,
171,Wed 6/21,30°/21°,0 mm,
172,Thu 6/22,30°/21°,0 mm,
173,Fri 6/23,31°/20°,0 mm,
174,Sat 6/24,29°/21°,0 mm,
175,Sun 6/25,29°/21°,0 mm,
176,Mon 6/26,28°/20°,0 mm,
177,Tue 6/27,30°/20°,361 mm,
178,Wed 6/28,29°/20°,0 mm,
179,Thu 6/29,29°/20°,0 mm,
180,Fri 6/30,29°/21°,0 mm,
181,Sat 7/1,30°/19°,0 mm,
182,Sun 7/2,30°/21°,0 mm,
183,Mon 7/3,29°/21°,8 mm,
184,Tue 7/4,28°/20°,1 mm,
185,Wed 7/5,29°/20°,6 mm,
186,Thu 7/6,29°/20°,6 mm,
187,Fri 7/7,27°/21°,3 mm,
188,Sat 7/8,26°/20°,0 mm,
189,Sun 7/9,30°/20°,0 mm,
190,Mon 7/10,30°/21°,0 mm,
191,Tue 7/11,30°/21°,0 mm,
192,Wed 7/12,29°/21°,2 mm,
193,Thu 7/13,27°/20°,0 mm,
194,Fri 7/14,27°/20°,0 mm,
195,Sat 7/15,25°/20°,0 mm,
196,Sun 7/16,29°/20°,0 mm,
197,Mon 7/17,28°/20°,0 mm,
198,Tue 7/18,27°/21°,0 mm,
199,Wed 7/19,27°/21°,9 mm,
200,Thu 7/20,29°/21°,1 mm,
201,Fri 7/21,29°/20°,0 mm,
202,Sat 7/22,31°/20°,0 mm,
203,Sun 7/23,30°/21°,0 mm,
204,Mon 7/24,30°/20°,0 mm,
205,Tue 7/25,31°/21°,0 mm,
206,Wed 7/26,30°/21°,0 mm,
207,Thu 7/27,31°/21°,12 mm,
208,Fri 7/28,31°/21°,11 mm,
209,Sat 7/29,31°/21°,0 mm,
210,Sun 7/30,31°/21°,1 mm,
211,Mon 7/31,31°/22°,7 mm,
212,Tue 8/1,32°/21°,2 mm,
213,Wed 8/2,31°/22°,3 mm,
214,Thu 8/3,30°/20°,0 mm,
215,Fri 8/4,28°/20°,0 mm,
216,Sat 8/5,30°/21°,0 mm,
217,Sun 8/6,30°/21°,0 mm,
218,Mon 8/7,31°/21°,0 mm,
219,Tue 8/8,31°/22°,1 mm,
220,Wed 8/9,28°/22°,9 mm,
221,Thu 8/10,28°/21°,7 mm,
222,Fri 8/11,28°/21°,12 mm,
223,Sat 8/12,28°/21°,5 mm,
224,Sun 8/13,26°/21°,0 mm,
225,Mon 8/14,28°/22°,0 mm,
226,Tue 8/15,27°/19°,131 mm,
227,Wed 8/16,29°/20°,27 mm,
228,Thu 8/17,27°/21°,7 mm,
229,Fri 8/18,29°/20°,6 mm,
230,Sat 8/19,29°/20°,13 mm,
231,Sun 8/20,27°/20°,3 mm,
232,Mon 8/21,28°/20°,0 mm,
233,Tue 8/22,28°/21°,11 mm,
234,Wed 8/23,29°/21°,42 mm,
235,Thu 8/24,27°/21°,29 mm,
236,Fri 8/25,26°/21°,1 mm,
237,Sat 8/26,29°/21°,0 mm,
238,Sun 8/27,27°/21°,6 mm,
239,Mon 8/28,26°/21°,0 mm,
240,Tue 8/29,27°/21°,0 mm,
241,Wed 8/30,29°/21°,0 mm,
242,Thu 8/31,31°/21°,5 mm,
243,Fri 9/1,28°/20°,67 mm,
244,Sat 9/2,27°/21°,45 mm,
245,Sun 9/3,27°/20°,5 mm,
246,Mon 9/4,30°/19°,55 mm,
247,Tue 9/5,30°/21°,0 mm,
248,Wed 9/6,28°/20°,22 mm,
249,Thu 9/7,29°/21°,1 mm,
250,Fri 9/8,32°/20°,68 mm,
251,Sat 9/9,28°/20°,1 mm,
252,Sun 9/10,28°/20°,65 mm,
253,Mon 9/11,29°/22°,0 mm,
254,Tue 9/12,31°/22°,0 mm,
255,Wed 9/13,31°/22°,0 mm,
256,Thu 9/14,31°/22°,2 mm,
257,Fri 9/15,28°/21°,0 mm,
258,Sat 9/16,29°/21°,1 mm,
259,Sun 9/17,25°/21°,13 mm,
260,Mon 9/18,27°/19°,0 mm,
261,Tue 9/19,28°/20°,0 mm,
262,Wed 9/20,29°/19°,0 mm,
263,Thu 9/21,27°/19°,0 mm,
264,Fri 9/22,28°/21°,0 mm,
265,Sat 9/23,31°/21°,0 mm,
266,Sun 9/24,29°/22°,0 mm,
267,Mon 9/25,26°/19°,62 mm,
268,Tue 9/26,28°/21°,13 mm,
269,Wed 9/27,27°/20°,32 mm,
270,Thu 9/28,26°/21°,0 mm,
271,Fri 9/29,27°/20°,7 mm,
272,Sat 9/30,26°/20°,8 mm,
273,Sun 10/1,28°/21°,35 mm,
274,Mon 10/2,27°/19°,11 mm,
275,Tue 10/3,29°/21°,0 mm,
276,Wed 10/4,30°/22°,18 mm,
277,Thu 10/5,27°/20°,78 mm,
278,Fri 10/6,29°/21°,15 mm,
279,Sat 10/7,29°/21°,4 mm,
280,Sun 10/8,29°/21°,43 mm,
281,Mon 10/9,29°/22°,8 mm,
282,Tue 10/10,29°/20°,1 mm,
283,Wed 10/11,31°/20°,25 mm,
284,Thu 10/12,28°/21°,52 mm,
285,Fri 10/13,28°/21°,49 mm,
286,Sat 10/14,25°/21°,19 mm,
287,Sun 10/15,26°/20°,25 mm,
288,Mon 10/16,25°/20°,0 mm,
289,Tue 10/17,27°/21°,0 mm,
290,Wed 10/18,28°/21°,0 mm,
291,Thu 10/19,30°/20°,0 mm,
292,Fri 10/20,31°/20°,0 mm,
293,Sat 10/21,31°/20°,0 mm,
294,Sun 10/22,31°/20°,0 mm,
295,Mon 10/23,31°/19°,0 mm,
296,Tue 10/24,31°/18°,0 mm,
297,Wed 10/25,30°/21°,0 mm,
298,Thu 10/26,28°/19°,1 mm,A thundershower in spots
299,Fri 10/27,27°/19°,7 mm,A shower or t-storm in spots
300,Sat 10/28,28°/18°,0 mm,Intervals of clouds and sun
301,Sun 10/29,28°/18°,0 mm,Sun and some clouds
302,Mon 10/30,26°/19°,0 mm,Partly sunny
303,Tue 10/31,26°/19°,2 mm,A p.m. t-storm in spots
304,Wed 11/1,27°/19°,14 mm,Couple of thunderstorms
305,Thu 11/2,26°/19°,2 mm,A thunderstorm in spots
306,Fri 11/3,27°/18°,3 mm,A thunderstorm in the area
307,Sat 11/4,27°/18°,3 mm,A thunderstorm in spots
308,Sun 11/5,28°/19°,2 mm,Thundershower
309,Mon 11/6,28°/18°,2 mm,A thunderstorm in the area
310,Tue 11/7,28°/18°,1 mm,A little morning rain
311,Wed 11/8,28°/17°,2 mm,A little morning rain
312,Thu 11/9,26°/19°,0 mm,Mostly sunny
313,Fri 11/10,28°/18°,0 mm,Abundant sunshine
314,Sat 11/11,28°/19°,0 mm,Mostly sunny
315,Sun 11/12,28°/20°,0 mm,Partly sunny
316,Mon 11/13,28°/20°,7 mm,Periods of rain
317,Tue 11/14,26°/19°,4 mm,Rain in the afternoon
318,Wed 11/15,27°/20°,0 mm,Cloudy
319,Thu 11/16,27°/19°,1 mm,A bit of afternoon rain
320,Fri 11/17,27°/19°,2 mm,A little afternoon rain
321,Sat 11/18,26°/20°,3 mm,A couple of morning showers
322,Sun 11/19,26°/19°,4 mm,Cloudy with showers
323,Mon 11/20,26°/19°,2 mm,A touch of afternoon rain
324,Tue 11/21,26°/19°,3 mm,A couple of morning showers
325,Wed 11/22,26°/19°,1 mm,A couple of morning showers
326,Thu 11/23,27°/18°,4 mm,Cloudy with a touch of rain
327,Fri 11/24,29°/19°,3 mm,Cloudy with a shower
328,Sat 11/25,29°/19°,4 mm,Cloudy with a shower
329,Sun 11/26,28°/18°,4 mm,"Clouds, a t-storm in spots"
330,Mon 11/27,28°/19°,2 mm,Periods of sun and clouds
331,Tue 11/28,29°/19°,3 mm,A shower or t-storm in spots
332,Wed 11/29,28°/18°,1 mm,Sun and some clouds
333,Thu 11/30,29°/19°,0 mm,Mostly sunny
334,Fri 12/1,28°/19°,0 mm,Mostly sunny
335,Sat 12/2,29°/16°,0 mm,Sunny
336,Sun 12/3,26°/16°,1 mm,Periods of clouds and sun
337,Mon 12/4,26°/16°,2 mm,Cloudy with a touch of rain
338,Tue 12/5,26°/16°,0 mm,Mostly cloudy
339,Wed 12/6,26°/16°,2 mm,Mostly cloudy with a shower
340,Thu 12/7,26°/16°,1 mm,Mostly cloudy with a shower
341,Fri 12/8,26°/16°,0 mm,Clouds and sun
342,Sat 12/9,26°/16°,3 mm,Mostly cloudy with a shower
343,Sun 12/10,26°/16°,1 mm,Mostly cloudy with a shower
344,Mon 12/11,27°/17°,3 mm,Cloudy with a bit of rain
